participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.test_question_1,player.test_question_2,player.test_question_3,player.test_question_4,player.payoff,group.id_in_subsession,group.option1,group.option2,group.amount_offered,group.option_chosen,group.current_opponent,group.payout,group.soc_or_no,group.offer_accepted,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,4hcgh0zo,,0,67,1260,my_ultimatum_priors_social,17,Offer,10.37.225.74,2017-11-15 10:17:10.573244+00:00,1,,,0,1,,,,,0,1,,,,,,,,,1,2dsbpta6,,,,,,1
1,4hcgh0zo,,0,67,1260,my_ultimatum_priors_social,17,Offer,10.37.225.74,2017-11-15 10:17:10.573244+00:00,1,,,0,1,,,,,0,1,,,,,,,,,2,2dsbpta6,,,,,,1
1,4hcgh0zo,,0,67,1260,my_ultimatum_priors_social,17,Offer,10.37.225.74,2017-11-15 10:17:10.573244+00:00,1,,,0,1,,,,,0,1,,,,,,,,,3,2dsbpta6,,,,,,1
1,4hcgh0zo,,0,67,1260,my_ultimatum_priors_social,17,Offer,10.37.225.74,2017-11-15 10:17:10.573244+00:00,1,,,0,1,,,,,0,1,,,,,,,,,4,2dsbpta6,,,,,,1
1,4hcgh0zo,,0,67,1260,my_ultimatum_priors_social,17,Offer,10.37.225.74,2017-11-15 10:17:10.573244+00:00,1,,,0,1,,,,,0,1,,,,,,,,,5,2dsbpta6,,,,,,1
1,4hcgh0zo,,0,67,1260,my_ultimatum_priors_social,17,Offer,10.37.225.74,2017-11-15 10:17:10.573244+00:00,1,,,0,1,,,,,0,1,,,,,,,,,6,2dsbpta6,,,,,,1
1,4hcgh0zo,,0,67,1260,my_ultimatum_priors_social,17,Offer,10.37.225.74,2017-11-15 10:17:10.573244+00:00,1,,,0,1,,,,,0,1,,,,,,,,,7,2dsbpta6,,,,,,1
1,4hcgh0zo,,0,67,1260,my_ultimatum_priors_social,17,Offer,10.37.225.74,2017-11-15 10:17:10.573244+00:00,1,,,0,1,,,,,0,1,,,,,,,,,8,2dsbpta6,,,,,,1
1,4hcgh0zo,,0,67,1260,my_ultimatum_priors_social,17,Offer,10.37.225.74,2017-11-15 10:17:10.573244+00:00,1,,,0,1,,,,,0,1,,,,,,,,,9,2dsbpta6,,,,,,1
1,4hcgh0zo,,0,67,1260,my_ultimatum_priors_social,17,Offer,10.37.225.74,2017-11-15 10:17:10.573244+00:00,1,,,0,1,,,,,0,1,,,,,,,,,10,2dsbpta6,,,,,,1
